DATE;HEURE;NO;NO2;PM10;PM25;CO2;TEMP;HUMI
21-févr-14;16:00;33;63;151;57;652;19,1;33,4
21-févr-14;17:00;48;67;127;45;685;19,2;34
21-févr-14;19:00;41;64;161;84;577;19,1;35
21-févr-14;23:00;13;49;128;42;478;18,9;36,7
22-févr-14;0:00;53;46;120;42;438;18,8;39,4
22-févr-14;10:00;27;56;147;59;504;18,2;43,7
22-févr-14;17:00;84;73;182;74;587;18,9;40,1
22-févr-14;18:00;104;79;143;57;600;19;40
23-févr-14;1:00;77;44;39;28;447;18,9;46,2
23-févr-14;2:00;37;41;17;14;432;18,9;45,3
23-févr-14;8:00;20;45;127;48;460;18;43,5
23-févr-14;11:00;7;46;117;41;460;18,4;42,8
23-févr-14;14:00;8;50;159;66;482;18,8;42
23-févr-14;21:00;19;58;228;82;468;18,9;41,2
24-févr-14;14:00;30;63;103;46;554;19,2;41,2
25-févr-14;8:00;58;52;311;203;687;19,4;53,3
25-févr-14;11:00;27;58;138;58;524;19,3;45,3
25-févr-14;17:00;27;67;150;51;667;19,6;41,6
26-févr-14;16:00;68;72;154;58;659;19,6;35,1
26-févr-14;18:00;77;77;137;53;644;19,1;37,8
26-févr-14;22:00;37;64;83;31;493;19;37,6
27-févr-14;1:00;49;50;38;22;419;19,5;36,2
27-févr-14;2:00;23;39;20;12;415;19,4;36,8
27-févr-14;4:00;156;78;47;31;433;18,2;36,7
27-févr-14;5:00;21;46;107;39;457;18,2;38,5
27-févr-14;15:00;59;71;146;57;584;18,9;44,9
27-févr-14;22:00;19;61;106;39;487;18,8;41,2
28-févr-14;20:00;89;73;211;92;558;18,9;41,4
28-févr-14;22:00;69;74;93;41;526;18,4;40,5
01-mars-14;0:00;32;51;196;77;462;18,9;40,7
01-mars-14;1:00;21;48;61;25;446;19,2;39,7
01-mars-14;4:00;12;40;51;20;439;17,3;41,9
01-mars-14;5:00;18;42;144;53;462;17,6;43
01-mars-14;8:00;46;60;102;37;490;17,8;42,3
01-mars-14;16:00;78;82;92;40;619;18,5;35,2
01-mars-14;21:00;85;81;140;64;530;18,4;34,4
02-mars-14;12:00;8;54;99;27;479;18;32,7
02-mars-14;14:00;16;65;120;32;494;18,1;32,2
02-mars-14;15:00;20;68;85;26;509;18,5;31,9
02-mars-14;16:00;17;67;125;35;513;18,2;31,8
02-mars-14;18:00;26;71;95;30;524;18,3;32
02-mars-14;19:00;16;67;81;24;497;18,3;31,4
02-mars-14;23:00;3;44;182;58;447;18,2;34,9
03-mars-14;1:00;<2;30;45;21;424;18,5;41,4
03-mars-14;2:00;<2;31;26;14;425;18,6;42,2
03-mars-14;10:00;67;72;122;46;529;18,1;39,9
03-mars-14;15:00;48;65;177;71;600;18,4;47,1
03-mars-14;19:00;58;75;195;77;600;18,7;41,7
03-mars-14;20:00;37;66;282;109;522;18,8;40,1
04-mars-14;5:00;37;57;88;41;477;17,3;40,9
04-mars-14;7:00;147;72;174;68;711;17,9;43,4
04-mars-14;9:00;128;71;127;51;577;18;42,6
04-mars-14;15:00;97;77;118;49;610;18,8;33,7
04-mars-14;20:00;131;84;235;96;546;19;35,2
13/04/2015;20:00;66;85;133;62;570;23,3;39,5
13/04/2015;0:00;41;78;81;42;410;22,2;44,7
14/04/2015;13:00;53;78;93;43;526;23,1;39,3
14/04/2015;16:00;56;86;141;69;585;24,3;36,9
14/04/2015;17:00;49;88;174;85;681;24,8;35,3
